"sku","name","weight","manufacturer","shoes_size","shoe_type","color","category_ids","status","price","qty","visibility","tax_class_id","description","short_description","thumbnail","small_image","image","attribute_set","websites","store","type","is_in_stock","special_price","special_from_date","special_to_date"
"S52GIAY1358311012R1020",323,0,"dollyvn",40,"Giày cao gót","Da bóng","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_1e7a9912d4339a091ca8b06bbc97b67f.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","/H/giay/3f951f_6b349cc32ba9d29ac9a8900afd37f51c.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1021",360,0,"dollyvn",34,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ
Chiều cao : 7cm
Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1022",360,0,"dollyvn",35,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1023",360,0,"dollyvn",36,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1024",360,0,"dollyvn",37,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1025",360,0,"dollyvn",38,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1026",360,0,"dollyvn",39,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1027",360,0,"dollyvn",40,"Giày cao gót","Tím","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","/H/giay/3f951f_9081729954594cc9bf2c0c256309ec31.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1028",360,0,"dollyvn",34,"Giày cao gót","Hồng","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_14883e031c8aaa7453c903350852c674.jpg","/H/giay/3f951f_14883e031c8aaa7453c903350852c674.jpg","/H/giay/3f951f_14883e031c8aaa7453c903350852c674.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1029",360,0,"dollyvn",35,"Giày cao gót","Hồng","3,36,80","Hiệu lực",490000,10,"Catalog, Search","None","Tên : Giày Cao Gót Bít Mũi Ren Nơ, Chiều cao : 7cm, Chất liệu : Ren
Thanh lịch và nữ tính, giày cao gót bít mũi ren 360 sẽ là sự lựa chọn tuyệt vời cho bộ sưu tập thời trang của bạn. Điểm nhấn nơ nhỏ xinh xắn trên nền gam màu đen nhã nhặn mang lại cho bạn nét trẻ trung và duyên dáng. Kết hợp giày với đầm trắng và trang sức lấp lánh, kèm theo ví cầm tay đính kim sa, bạn sẽ thật nổi bật ở bất cứ nơi đâu.","none","/H/giay/3f951f_14883e031c8aaa7453c903350852c674.jpg","/H/giay/3f951f_14883e031c8aaa7453c903350852c674.jpg","/H/giay/3f951f_14883e031c8aaa7453c903350852c674.jpg","Giay","base","admin","simple",1,,,
