sku,name,_store,_product_websites,_attribute_set,_type,description,color,manufacturer,material_handbag,material_shoes,price,qty,status,shirt_size,shoes_size,short_description,image,small_image,thumbnail,tax_class_id,clothing_size,weight,material,category_ids,visibility,is_in_stock,dimension,skirt_type,gender,shoe_type,root_category,country_of_manufacture,dress_type,gallery,instruction,in_depth,media_gallery,model,size_handbag,small_image_label
S43AO0130311012R1003,Pull cánh dơi,admin,base,Ao,simple,"- Thun cánh dơi hình thật teen, không những thoải mái khi dạo phố mà còn giúp bạn thêm cá tính.
- Kết hợp với short hay jeans là chuẩn nhất nhé.",Trắng,Yameshop,,,160000,99,1,,,None,/yame/dn_004_13_3.jpg,/yame/dn_004_13_3__2_.jpg,/yame/dn_004_13_3__3_.jpg,0,FREE,0,Thun,36.46,4,1,,,,,muafast,,,,,,inner,,,
S43AO0130311012R1004,Pull cánh dơi,admin,base,Ao,simple,"- Áo thun form dài, free  size, thân áo xòe rộng, vừa cá tính vừa năng động.
- Kết hợp với jeans, skinny màu, legging, hay short đều ổn nhé.",Trắng,Yameshop,,,160000,99,1,,,None,/yame/dn_004_14_3.jpg,/yame/dn_004_14_3__2_.jpg,/yame/dn_004_14_3__3_.jpg,0,FREE,0,Thun,36.46,4,1,,,,,muafast,,,,,,inner,,,
S43AO0130311012R1005,Sơ mi cổ Peter Pan,admin,base,Ao,simple,"- Sự kết hợp hài hòa màu sắc của thân và cổ áo tạo nên sự sang trọng và cá tính cho chiếc áo. Với chiếc Chiffon Cổ Peter Pan này bạn dễ dàng đi học, đi chơi hay đến công sở đều rất thích hợp.
- Với chiếc quần jeans có phần cứng nhắc và “bụi”, khi kết hợp",Như hình,Yameshop,,,120000,99,1,,,None,/yame/dn_004_15_4.jpg,/yame/dn_004_15_4__2_.jpg,/yame/dn_004_15_4__3_.jpg,0,M,0,Lụa,36.48,4,1,,,,,muafast,,,,,,inner,,,
S43AO0130311012R1006,Sơ mi cổ Peter Pan,admin,base,Ao,simple,"- Sự kết hợp hài hòa màu sắc của thân và cổ áo tạo nên sự sang trọng và cá tính cho chiếc áo. Với chiếc Chiffon Cổ Peter Pan này bạn dễ dàng đi học, đi chơi hay đến công sở đều rất thích hợp.
- Với chiếc quần jeans có phần cứng nhắc và “bụi”, khi kết hợp",Như hình,Yameshop,,,140000,99,1,,,None,/yame/dn_004_16_4.jpg,/yame/dn_004_16_4__2_.jpg,/yame/dn_004_16_4__3_.jpg,0,M,0,Lụa,36.48,4,1,,,,,muafast,,,,,,inner,,,
S43AO0130311012R1007,Sơ mi cổ Peter Pan tay lửng,admin,base,Ao,simple,"- Sự kết hợp hài hòa màu sắc của thân và cổ áo tạo nên sự sang trọng và cá tính cho chiếc áo. Với chiếc Chiffon Cổ Peter Pan này bạn dễ dàng đi học, đi chơi hay đến công sở đều rất thích hợp.
- Với chiếc quần jeans có phần cứng nhắc và “bụi”, khi kết hợp",Như hình,Yameshop,,,140000,99,1,,,None,/yame/dn_004_17_3.jpg,,,0,M,0,Lụa,36.48,4,1,,,,,muafast,,,,,,inner,,,
S43AO0130311012R1008,Sơ mi caro,admin,base,Ao,simple,"- Kết hợp với một chiếc váy kiểu hay chiếc quần jeans ngắn sẽ làm bạn trở nên duyên dáng, xinh đẹp và không kém phần sang trọng. Bạn có thể “diện” chiếc áo này đi làm hay cũng có thể mặc khi đi dạo phố.
- Điểm nhấn nhẹ nhàng cùng sợi thắt lưng nữ thời tr",Như hình,Yameshop,,,205000,99,1,,,None,/yame/dn_004_18_2.jpg,/yame/dn_004_18_2__2_.jpg,/yame/dn_004_18_2.jpg,0,M,0,kate,36.48,4,1,,,,,muafast,,,,,,inner,,,
S43AO0130311012R1009,Sơ mi caro,admin,base,Ao,simple,"- Kết hợp với một chiếc váy kiểu hay chiếc quần jeans ngắn sẽ làm bạn trở nên duyên dáng, xinh đẹp và không kém phần sang trọng. Bạn có thể “diện” chiếc áo này đi làm hay cũng có thể mặc khi đi dạo phố.
- Điểm nhấn nhẹ nhàng cùng sợi thắt lưng nữ thời tr",Như hình,Yameshop,,,205000,99,1,,,None,/yame/dn_004_19_2__2_.jpg,/yame/dn_004_19_2__2_.jpg,/yame/dn_004_19_2.jpg,0,M,0,kate,36.48,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1000,Áo da cổ trụ 1,admin,base,Ao,simple,"- Chất da và form cực đẹp, dáng áo ngắn và ôm ở phần eo gơi nét trẻ trung, năng động. Bên cạnh đó, phần cổ áo được cách điệu mềm mại lại khiến bạn duyên dáng hơn rất nhiều. 
- Đây là dáng áo khá dễ mặc, tùy theo từng hoàn cảnh bạn có thể linh hoạt mix áo",Đỏ,Lfemme Boutique,,,670000,99,1,,,None,/l_femme_boutique/dn_013_004_2.jpg,,/l_femme_boutique/dn_013_004_2.jpg,0,S,0,Da lộn,36.41,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1001,Áo da cổ trụ 2,admin,base,Ao,simple,"- Chất da và form cực đẹp, dáng áo ngắn và ôm ở phần eo gơi nét trẻ trung, năng động. Bên cạnh đó, phần cổ áo được cách điệu mềm mại lại khiến bạn duyên dáng hơn rất nhiều. 
- Đây là dáng áo khá dễ mặc, tùy theo từng hoàn cảnh bạn có thể linh hoạt mix áo",Nâu đen,Lfemme Boutique,,,670000,99,1,,,None,/l_femme_boutique/dn_013_004_2__2_.jpg,,/l_femme_boutique/dn_013_004_2__2_.jpg,0,S,0,Da lộn,36.41,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1002,Áo voan cổ sen,admin,base,Ao,simple,"- Sự kết hợp hài hòa màu sắc của thân và cổ áo tạo nên sự sang trọng và cá tính cho chiếc áo. Với chiếc Chiffon Cổ Peter Pan này bạn dễ dàng đi học, đi chơi hay đến công sở đều rất thích hợp.
- Với chiếc quần jeans có phần cứng nhắc và “bụi”, khi kết hợp",Be,Lfemme Boutique,,,270000,99,1,,,None,/l_femme_boutique/dn_013_005_2.jpg,,/l_femme_boutique/dn_013_005_2.jpg,0,FREE,0,Voan,36.49,4,1,,,,,muafast,,,,,,inner,,,
